position,layer,regime,metric,mean,ci_low,ci_high
answer,15,joint,roc_auc,0.5418836805555556,0.5095486111111112,0.5771484375
answer,15,joint,mean_within_fold_auc,0.6302083333333334,,
answer,16,speaker,accuracy,0.6979166666666666,0.6197916666666666,0.7708333333333334
answer,16,speaker,roc_auc,0.732421875,0.6495198567708333,0.8105495876736111
answer,16,speaker,mean_within_fold_auc,0.7317708333333334,,
answer,16,statement,accuracy,0.5,0.4739583333333333,0.5260416666666666
answer,16,statement,roc_auc,0.55859375,0.5157307942708333,0.6014539930555556
answer,16,statement,mean_within_fold_auc,0.6141493055555556,,
answer,16,joint,accuracy,0.515625,0.484375,0.546875
answer,16,joint,roc_auc,0.5368923611111112,0.5054253472222222,0.5708550347222222
answer,16,joint,mean_within_fold_auc,0.5989583333333334,,
answer,17,speaker,accuracy,0.6822916666666666,0.6041666666666666,0.7604166666666666
answer,17,speaker,roc_auc,0.7266710069444444,0.6482177734375001,0.8037109375
answer,17,speaker,mean_within_fold_auc,0.7447916666666666,,
answer,17,statement,accuracy,0.4947916666666667,0.4739583333333333,0.5104166666666666
answer,17,statement,roc_auc,0.5821397569444444,0.5482828776041667,0.6141493055555556
answer,17,statement,mean_within_fold_auc,0.6649305555555556,,
answer,17,joint,accuracy,0.5052083333333334,0.4895833333333333,0.5209635416666648
answer,17,joint,roc_auc,0.5563151041666666,0.5247368706597223,0.5883273654513889
answer,17,joint,mean_within_fold_auc,0.6510416666666666,,
answer,18,speaker,accuracy,0.6979166666666666,0.6302083333333334,0.7604166666666666
answer,18,speaker,roc_auc,0.7349175347222222,0.6628662109375001,0.8040391710069444
answer,18,speaker,mean_within_fold_auc,0.7526041666666666,,
