position,layer,statement,metric,condition,mean,ci_low,ci_high
answer,10,01,pooled_roc_auc,cross,0.5998263888888888,0.5078016493055556,0.6970486111111112
answer,10,01,pooled_roc_auc,gap,0.05946180555555558,-0.08247612847222222,0.19965277777777768
answer,10,01,accuracy,within,0.5833333333333334,0.5,0.6666666666666666
answer,10,01,accuracy,cross,0.53125,0.4895833333333333,0.59375
answer,10,01,accuracy,gap,0.05208333333333337,-0.05208333333333337,0.15625
answer,10,02,mean_within_fold_auc,within,0.78125,0.6666666666666666,0.8854166666666666
answer,10,02,mean_within_fold_auc,cross,0.7291666666666666,0.6041666666666666,0.84375
answer,10,02,mean_within_fold_auc,gap,0.05208333333333337,-0.11458333333333337,0.20833333333333326
answer,10,02,pooled_roc_auc,within,0.7708333333333334,0.673166232638889,0.8585069444444444
answer,10,02,pooled_roc_auc,cross,0.66796875,0.5915798611111112,0.7608506944444444
answer,10,02,pooled_roc_auc,gap,0.10286458333333337,-0.05164930555555547,0.22874348958333324
answer,10,02,accuracy,within,0.6875,0.6041666666666666,0.7708333333333334
answer,10,02,accuracy,cross,0.5,0.5,0.5
answer,10,02,accuracy,gap,0.1875,0.10416666666666663,0.27083333333333337
answer,10,combined,mean_within_fold_auc,within,0.7291666666666666,0.6614583333333334,0.796875
answer,10,combined,mean_within_fold_auc,cross,0.6770833333333334,0.5729166666666666,0.7760416666666666
answer,10,combined,mean_within_fold_auc,gap,0.05208333333333326,-0.046875,0.15625
answer,10,combined,pooled_roc_auc,within,0.7163628472222222,0.6531032986111112,0.7808213975694444
answer,10,combined,pooled_roc_auc,cross,0.5713975694444444,0.5367838541666666,0.6110026041666666
answer,10,combined,pooled_roc_auc,gap,0.1449652777777778,0.07432725694444442,0.2124565972222222
answer,10,combined,accuracy,within,0.6354166666666666,0.5833333333333334,0.6875
answer,10,combined,accuracy,cross,0.515625,0.4947916666666667,0.546875
answer,10,combined,accuracy,gap,0.11979166666666663,0.05208333333333337,0.18749999999999994
answer,11,01,mean_within_fold_auc,within,0.7604166666666666,0.6666666666666666,0.8541666666666666
answer,11,01,mean_within_fold_auc,cross,0.71875,0.59375,0.8333333333333334
answer,11,01,mean_within_fold_auc,gap,0.04166666666666663,-0.10416666666666674,0.1875
answer,11,01,pooled_roc_auc,within,0.6870659722222222,0.5933159722222222,0.7864583333333334
answer,11,01,pooled_roc_auc,cross,0.6636284722222222,0.5902669270833334,0.7447916666666666
answer,11,01,pooled_roc_auc,gap,0.0234375,-0.10546875,0.14756944444444442
answer,11,01,accuracy,within,0.6458333333333334,0.5625,0.7291666666666666
answer,11,01,accuracy,cross,0.5,0.5,0.5
answer,11,01,accuracy,gap,0.14583333333333337,0.0625,0.22916666666666663
answer,11,02,mean_within_fold_auc,within,0.8541666666666666,0.7604166666666666,0.9375
answer,11,02,mean_within_fold_auc,cross,0.6145833333333334,0.4791666666666667,0.7395833333333334
answer,11,02,mean_within_fold_auc,gap,0.23958333333333326,0.08333333333333326,0.38541666666666674
answer,11,02,pooled_roc_auc,within,0.8407118055555556,0.76083984375,0.9132052951388887
answer,11,02,pooled_roc_auc,cross,0.6263020833333334,0.5390625,0.7113823784722221
answer,11,02,pooled_roc_auc,gap,0.2144097222222222,0.10460069444444453,0.3155381944444444
answer,11,02,accuracy,within,0.78125,0.71875,0.84375
answer,11,02,accuracy,cross,0.5729166666666666,0.5,0.65625
answer,11,02,accuracy,gap,0.20833333333333337,0.10416666666666663,0.3125
answer,11,combined,mean_within_fold_auc,within,0.8072916666666666,0.734375,0.875
answer,11,combined,mean_within_fold_auc,cross,0.6666666666666666,0.5677083333333334,0.7604166666666666
answer,11,combined,mean_within_fold_auc,gap,0.140625,0.02604166666666663,0.25
answer,11,combined,pooled_roc_auc,within,0.7603081597222222,0.6902126736111112,0.8320339626736111
answer,11,combined,pooled_roc_auc,cross,0.5815972222222222,0.5473090277777778,0.6188151041666666
answer,11,combined,pooled_roc_auc,gap,0.1787109375,0.10362413194444442,0.2520616319444444
