condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
zero_noop,15,pair_0058,02,01,-3.800013780593872,-3.390519142150879,0.0,0.0,-0.40949463844299316,0.0,0.0
zero_noop,15,pair_0059,02,02,-3.5927512645721436,-4.272625923156738,0.0,0.0,0.6798746585845947,0.0,0.0
zero_noop,16,pair_0060,01,01,-4.752762794494629,-4.683334827423096,0.0,0.0,-0.0694279670715332,0.0,0.0
zero_noop,16,pair_0061,01,02,-4.656552314758301,-4.103060722351074,0.0,0.0,-0.5534915924072266,0.0,0.0
zero_noop,16,pair_0062,02,01,-3.5628504753112793,-3.5368704795837402,0.0,0.0,-0.025979995727539062,0.0,0.0
zero_noop,16,pair_0063,02,02,-3.247852325439453,-3.712739944458008,0.0,0.0,0.4648876190185547,0.0,0.0
zero_noop,17,pair_0064,01,01,-4.453313827514648,-4.434425354003906,0.0,0.0,-0.018888473510742188,0.0,0.0
zero_noop,17,pair_0065,01,02,-4.348764419555664,-4.28976583480835,0.0,0.0,-0.05899858474731445,0.0,0.0
zero_noop,17,pair_0066,02,01,-3.9196739196777344,-4.150018215179443,0.0,0.0,0.23034429550170898,0.0,0.0
zero_noop,17,pair_0067,02,02,-3.8223073482513428,-3.4964675903320312,0.0,0.0,-0.3258397579193115,0.0,0.0
zero_noop,18,pair_0068,01,01,-4.009371280670166,-4.21242618560791,0.0,0.0,0.20305490493774414,0.0,0.0
zero_noop,18,pair_0069,01,02,-3.73952054977417,-4.420629501342773,0.0,0.0,0.6811089515686035,0.0,0.0
zero_noop,18,pair_0070,02,01,-3.849033832550049,-4.095071792602539,0.0,0.0,0.24603796005249023,0.0,0.0
zero_noop,18,pair_0071,02,02,-4.281855583190918,-3.8288536071777344,0.0,0.0,-0.4530019760131836,0.0,0.0
zero_noop,19,pair_0072,01,01,-4.446919918060303,-4.709850788116455,0.0,0.0,0.26293087005615234,0.0,0.0
zero_noop,19,pair_0073,01,02,-4.707800388336182,-4.421672344207764,0.0,0.0,-0.28612804412841797,0.0,0.0
zero_noop,19,pair_0074,02,01,-4.120583534240723,-5.197248458862305,0.0,0.0,1.076664924621582,0.0,0.0
zero_noop,19,pair_0075,02,02,-3.303211212158203,-3.246274471282959,0.0,0.0,-0.05693674087524414,0.0,0.0
zero_noop,20,pair_0076,01,01,-4.545580863952637,-4.708176612854004,0.0,0.0,0.1625957489013672,0.0,0.0
zero_noop,20,pair_0077,01,02,-4.142257213592529,-4.00131893157959,0.0,0.0,-0.14093828201293945,0.0,0.0
zero_noop,20,pair_0078,02,01,-3.5017380714416504,-3.4527485370635986,0.0,0.0,-0.04898953437805176,0.0,0.0
zero_noop,20,pair_0079,02,02,-3.864936590194702,-3.65761661529541,0.0,0.0,-0.207319974899292,0.0,0.0
zero_noop,21,pair_0080,01,01,-4.269933223724365,-4.09474515914917,0.0,0.0,-0.1751880645751953,0.0,0.0
zero_noop,21,pair_0081,01,02,-4.222221374511719,-4.20202112197876,0.0,0.0,-0.020200252532958984,0.0,0.0
zero_noop,21,pair_0082,02,01,-3.776475191116333,-3.3417794704437256,0.0,0.0,-0.4346957206726074,0.0,0.0
zero_noop,21,pair_0083,02,02,-3.3170056343078613,-3.4587490558624268,0.0,0.0,0.14174342155456543,0.0,0.0
zero_noop,22,pair_0084,01,01,-4.489823341369629,-4.763824462890625,0.0,0.0,0.2740011215209961,0.0,0.0
zero_noop,22,pair_0085,01,02,-4.036124229431152,-4.4401750564575195,0.0,0.0,0.4040508270263672,0.0,0.0
zero_noop,22,pair_0086,02,01,-3.6062417030334473,-3.6647796630859375,0.0,0.0,0.058537960052490234,0.0,0.0
zero_noop,22,pair_0087,02,02,-3.63923716545105,-3.512509346008301,0.0,0.0,-0.12672781944274902,0.0,0.0
zero_noop,23,pair_0088,01,01,-4.401366233825684,-4.017239093780518,0.0,0.0,-0.384127140045166,0.0,0.0
zero_noop,23,pair_0089,01,02,-4.488677501678467,-4.4080986976623535,0.0,0.0,-0.08057880401611328,0.0,0.0
zero_noop,23,pair_0090,02,01,-3.967418670654297,-3.457728862762451,0.0,0.0,-0.5096898078918457,0.0,0.0
zero_noop,23,pair_0091,02,02,-3.599268674850464,-3.179276704788208,0.0,0.0,-0.41999197006225586,0.0,0.0
zero_noop,24,pair_0092,01,01,-4.097404479980469,-4.705519676208496,0.0,0.0,0.6081151962280273,0.0,0.0
zero_noop,24,pair_0093,01,02,-4.184145927429199,-4.5940375328063965,0.0,0.0,0.40989160537719727,0.0,0.0
zero_noop,24,pair_0094,02,01,-3.719454050064087,-3.6296300888061523,0.0,0.0,-0.08982396125793457,0.0,0.0
zero_noop,24,pair_0095,02,02,-3.743422269821167,-3.626431703567505,0.0,0.0,-0.11699056625366211,0.0,0.0
center_joint,01,pair_0000,01,01,-4.80033016204834,-4.721230506896973,-0.2086644172668457,-0.24874639511108398,-0.07909965515136719,0.04008197784423828,-0.22870540618896484
center_joint,01,pair_0001,01,02,-5.035005569458008,-5.056087970733643,-0.2366037368774414,-0.2421097755432129,0.021082401275634766,0.005506038665771484,-0.23935675621032715
center_joint,01,pair_0002,02,01,-3.642305374145508,-3.995604991912842,-0.10771727561950684,-0.05367636680603027,0.353299617767334,-0.05404090881347656,-0.08069682121276855
center_joint,01,pair_0003,02,02,-3.574730634689331,-3.6465301513671875,-0.06952667236328125,-0.0426335334777832,0.07179951667785645,-0.026893138885498047,-0.05608010292053223
center_joint,02,pair_0004,01,01,-4.452456474304199,-5.101869583129883,-0.1893777847290039,-0.2336406707763672,0.6494131088256836,0.04426288604736328,-0.21150922775268555
center_joint,02,pair_0005,01,02,-4.693096160888672,-4.976597309112549,-0.21811485290527344,-0.27936363220214844,0.28350114822387695,0.061248779296875,-0.24873924255371094
center_joint,02,pair_0006,02,01,-3.5874361991882324,-3.763622283935547,-0.07802796363830566,0.011412620544433594,0.17618608474731445,-0.08944058418273926,-0.033307671546936035
center_joint,02,pair_0007,02,02,-3.474587917327881,-3.536060094833374,-0.06657147407531738,-0.05490899085998535,0.061472177505493164,-0.011662483215332031,-0.06074023246765137
center_joint,03,pair_0008,01,01,-4.984193801879883,-4.814615726470947,-0.28512001037597656,-0.22990703582763672,-0.16957807540893555,-0.055212974548339844,-0.25751352310180664
center_joint,03,pair_0009,01,02,-4.949997901916504,-4.611579895019531,-0.23117733001708984,-0.23425960540771484,-0.33841800689697266,0.003082275390625,-0.23271846771240234
