layer,component,statement,condition,metric,mean,ci_low,ci_high
0,mlp,01,cross,accuracy,0.04166666666666663,0.0,0.09375
1,mlp,01,cross,accuracy,-0.02083333333333337,-0.05208333333333337,0.0
2,mlp,01,cross,accuracy,-0.01041666666666674,-0.03125,0.0
3,mlp,01,cross,accuracy,-0.01041666666666663,-0.03125,0.0
4,mlp,01,cross,accuracy,0.01041666666666674,0.0,0.03125
5,mlp,01,cross,accuracy,0.0,0.0,0.0
6,mlp,01,cross,accuracy,-0.01041666666666663,-0.03125,0.0
7,mlp,01,cross,accuracy,0.05208333333333337,-0.03125,0.13541666666666663
8,mlp,01,cross,accuracy,0.0625,-0.02083333333333326,0.14583333333333337
9,mlp,01,cross,accuracy,0.0,-0.0625,0.05208333333333337
10,mlp,01,cross,accuracy,0.0,-0.03125,0.03125
11,mlp,01,cross,accuracy,-0.01041666666666663,-0.03125,0.0
12,mlp,01,cross,accuracy,0.01041666666666663,0.0,0.03125
13,mlp,01,cross,accuracy,0.0,0.0,0.0
14,mlp,01,cross,accuracy,0.0,0.0,0.0
15,mlp,01,cross,accuracy,0.0,0.0,0.0
16,mlp,01,cross,accuracy,0.0,0.0,0.0
17,mlp,01,cross,accuracy,0.0,0.0,0.0
18,mlp,01,cross,accuracy,-0.01041666666666663,-0.031250000000000056,0.0
19,mlp,01,cross,accuracy,-0.02083333333333337,-0.08333333333333331,0.03125
20,mlp,01,cross,accuracy,0.01041666666666674,0.0,0.03125
21,mlp,01,cross,accuracy,0.01041666666666674,0.0,0.03125
22,mlp,01,cross,accuracy,0.0,0.0,0.0
23,mlp,01,cross,accuracy,0.020833333333333315,0.0,0.0625
0,attention,01,gap,mean_within_fold_auc,0.0,-0.07291666666666663,0.08333333333333337
1,attention,01,gap,mean_within_fold_auc,-0.125,-0.23958333333333326,-0.02083333333333337
2,attention,01,gap,mean_within_fold_auc,-0.03125,-0.13541666666666652,0.08333333333333337
3,attention,01,gap,mean_within_fold_auc,0.04166666666666663,0.01041666666666663,0.08333333333333337
4,attention,01,gap,mean_within_fold_auc,-0.03125,-0.09375,0.03125
5,attention,01,gap,mean_within_fold_auc,-0.02083333333333337,-0.0625,0.02083333333333326
6,attention,01,gap,mean_within_fold_auc,0.04166666666666674,-0.0625,0.14583333333333326
7,attention,01,gap,mean_within_fold_auc,0.08333333333333337,-0.10416666666666663,0.27083333333333337
8,attention,01,gap,mean_within_fold_auc,-0.03124999999999989,-0.10416666666666674,0.04166666666666663
9,attention,01,gap,mean_within_fold_auc,-0.03125,-0.10416666666666663,0.04166666666666674
10,attention,01,gap,mean_within_fold_auc,0.03125,-0.09374999999999989,0.14583333333333337
11,attention,01,gap,mean_within_fold_auc,0.04166666666666663,-0.10416666666666663,0.19791666666666674
12,attention,01,gap,mean_within_fold_auc,-0.04166666666666663,-0.11458333333333348,0.03125
13,attention,01,gap,mean_within_fold_auc,0.04166666666666663,-0.08333333333333326,0.1562500000000001
14,attention,01,gap,mean_within_fold_auc,0.01041666666666663,-0.11458333333333337,0.14583333333333326
15,attention,01,gap,mean_within_fold_auc,-0.05208333333333337,-0.10416666666666674,1.1102230246251565e-16
16,attention,01,gap,mean_within_fold_auc,0.01041666666666663,-0.08333333333333337,0.10416666666666663
17,attention,01,gap,mean_within_fold_auc,0.08333333333333337,-0.04166666666666663,0.2187499999999999
18,attention,01,gap,mean_within_fold_auc,-1.1102230246251565e-16,-0.05208333333333337,0.06249999999999989
19,attention,01,gap,mean_within_fold_auc,0.04166666666666674,-0.03124999999999989,0.11458333333333326
20,attention,01,gap,mean_within_fold_auc,-0.02083333333333337,-0.09375,0.041666666666666796
21,attention,01,gap,mean_within_fold_auc,0.03125,-0.0625,0.11458333333333343
22,attention,01,gap,mean_within_fold_auc,0.125,0.04166666666666663,0.21874999999999994
23,attention,01,gap,mean_within_fold_auc,-0.010416666666666685,-0.05208333333333337,0.03125
0,mlp,01,gap,mean_within_fold_auc,0.03125,-0.04166666666666663,0.10416666666666663
1,mlp,01,gap,mean_within_fold_auc,0.01041666666666663,-0.041927083333333164,0.07291666666666674
2,mlp,01,gap,mean_within_fold_auc,0.03125000000000011,-0.01041666666666674,0.07291666666666674
3,mlp,01,gap,mean_within_fold_auc,0.01041666666666663,-0.05208333333333337,0.08333333333333326
4,mlp,01,gap,mean_within_fold_auc,0.0,-0.03125,0.03125
5,mlp,01,gap,mean_within_fold_auc,0.04166666666666663,-0.02083333333333337,0.125
6,mlp,01,gap,mean_within_fold_auc,0.04166666666666663,-0.01041666666666663,0.10416666666666663
